------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 23555
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 223.00-224.00 sec  47.4 KBytes   388 Kbits/sec  26.123 ms 0/33 (0%)
[  1] 224.00-225.00 sec  41.6 KBytes   341 Kbits/sec  16.729 ms 0/29 (0%)
[  1] 225.00-226.00 sec  48.8 KBytes   400 Kbits/sec  24.226 ms 0/34 (0%)
[  1] 226.00-227.00 sec  40.2 KBytes   329 Kbits/sec  29.003 ms 0/28 (0%)
[  1] 227.00-228.00 sec  34.5 KBytes   282 Kbits/sec  25.021 ms 0/24 (0%)
[  1] 228.00-229.00 sec  31.6 KBytes   259 Kbits/sec  27.451 ms 0/22 (0%)
[  1] 229.00-230.00 sec  37.3 KBytes   306 Kbits/sec  27.834 ms 0/26 (0%)
[  1] 230.00-231.00 sec  31.6 KBytes   259 Kbits/sec  29.600 ms 0/22 (0%)
[  1] 231.00-232.00 sec  37.3 KBytes   306 Kbits/sec  36.387 ms 0/26 (0%)
[  1] 232.00-233.00 sec  30.1 KBytes   247 Kbits/sec  42.574 ms 0/21 (0%)
[  1] 233.00-234.00 sec  31.6 KBytes   259 Kbits/sec  33.577 ms 0/22 (0%)
[  1] 234.00-235.00 sec  30.1 KBytes   247 Kbits/sec  38.517 ms 0/21 (0%)
[  1] 235.00-236.00 sec  47.4 KBytes   388 Kbits/sec  31.080 ms 0/33 (0%)
[  1] 236.00-237.00 sec  44.5 KBytes   365 Kbits/sec  22.844 ms 0/31 (0%)
[  1] 237.00-238.00 sec  53.1 KBytes   435 Kbits/sec  27.358 ms 0/37 (0%)
[  1] 238.00-239.00 sec  37.3 KBytes   306 Kbits/sec  35.375 ms 0/26 (0%)
[  1] 239.00-240.00 sec  37.3 KBytes   306 Kbits/sec  26.101 ms 0/26 (0%)
[  1] 240.00-241.00 sec  35.9 KBytes   294 Kbits/sec  34.375 ms 0/25 (0%)
[  1] 241.00-242.00 sec  33.0 KBytes   270 Kbits/sec  37.363 ms 0/23 (0%)
[  1] 242.00-243.00 sec  30.1 KBytes   247 Kbits/sec  33.261 ms 0/21 (0%)
[  1] 243.00-244.00 sec  40.2 KBytes   329 Kbits/sec  31.845 ms 0/28 (0%)
[  1] 244.00-245.00 sec  40.2 KBytes   329 Kbits/sec  27.831 ms 0/28 (0%)
[  1] 245.00-246.00 sec  47.4 KBytes   388 Kbits/sec  23.696 ms 0/33 (0%)
[  1] 246.00-247.00 sec  48.8 KBytes   400 Kbits/sec  22.599 ms 0/34 (0%)
[  1] 247.00-248.00 sec  35.9 KBytes   294 Kbits/sec  23.670 ms 0/25 (0%)
