------------------------------------------------------------
Server listening on TCP port 5002
TCP window size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5002 connected with 192.168.1.60 port 31011
[ ID] Interval       Transfer     Bandwidth
[  1] 331.00-332.00 sec   185 KBytes  1.51 Mbits/sec
[  1] 332.00-333.00 sec   150 KBytes  1.23 Mbits/sec
[  1] 333.00-334.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 334.00-335.00 sec   187 KBytes  1.54 Mbits/sec
[  1] 335.00-336.00 sec   192 KBytes  1.57 Mbits/sec
[  1] 336.00-337.00 sec   150 KBytes  1.23 Mbits/sec
[  1] 337.00-338.00 sec   196 KBytes  1.61 Mbits/sec
[  1] 338.00-339.00 sec   150 KBytes  1.23 Mbits/sec
[  1] 339.00-340.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 340.00-341.00 sec   167 KBytes  1.37 Mbits/sec
[  1] 341.00-342.00 sec   184 KBytes  1.51 Mbits/sec
[  1] 342.00-343.00 sec   152 KBytes  1.25 Mbits/sec
[  1] 343.00-344.00 sec   139 KBytes  1.14 Mbits/sec
[  1] 344.00-345.00 sec   167 KBytes  1.37 Mbits/sec
[  1] 345.00-346.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 346.00-347.00 sec   130 KBytes  1.06 Mbits/sec
[  1] 347.00-348.00 sec   167 KBytes  1.37 Mbits/sec
[  1] 348.00-349.00 sec   143 KBytes  1.17 Mbits/sec
[  1] 349.00-350.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 350.00-351.00 sec   176 KBytes  1.44 Mbits/sec
[  1] 351.00-352.00 sec   207 KBytes  1.69 Mbits/sec
[  1] 352.00-353.00 sec   183 KBytes  1.50 Mbits/sec
[  1] 353.00-354.00 sec   165 KBytes  1.35 Mbits/sec
[  1] 354.00-355.00 sec   173 KBytes  1.41 Mbits/sec
[  1] 355.00-356.00 sec   127 KBytes  1.04 Mbits/sec
[  1] 356.00-357.00 sec   173 KBytes  1.42 Mbits/sec
[  1] 357.00-358.00 sec   168 KBytes  1.37 Mbits/sec
[  1] 358.00-359.00 sec   171 KBytes  1.40 Mbits/sec
[  1] 359.00-360.00 sec   149 KBytes  1.22 Mbits/sec
[  1] 0.00-360.00 sec  52.9 MBytes  1.23 Mbits/sec
